HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
Southampton,Leicester,0,9,A,E0_2019.csv
Man City,Aston Villa,3,0,H,E0_2019.csv
Brighton,Everton,3,2,H,E0_2019.csv
Watford,Bournemouth,0,0,D,E0_2019.csv
West Ham,Sheffield United,1,1,D,E0_2019.csv
Burnley,Chelsea,2,4,A,E0_2019.csv
Newcastle,Wolves,1,1,D,E0_2019.csv
Arsenal,Crystal Palace,2,2,D,E0_2019.csv
Liverpool,Tottenham,2,1,H,E0_2019.csv
Norwich,Man United,1,3,A,E0_2019.csv
Bournemouth,Man United,1,0,H,E0_2019.csv
Arsenal,Wolves,1,1,D,E0_2019.csv
Aston Villa,Liverpool,1,2,A,E0_2019.csv
Brighton,Norwich,2,0,H,E0_2019.csv
Man City,Southampton,2,1,H,E0_2019.csv
Sheffield United,Burnley,3,0,H,E0_2019.csv
West Ham,Newcastle,2,3,A,E0_2019.csv
Watford,Chelsea,1,2,A,E0_2019.csv
Crystal Palace,Leicester,0,2,A,E0_2019.csv
Everton,Tottenham,1,1,D,E0_2019.csv
Norwich,Watford,0,2,A,E0_2019.csv
Chelsea,Crystal Palace,2,0,H,E0_2019.csv
Burnley,West Ham,3,0,H,E0_2019.csv
Newcastle,Bournemouth,2,1,H,E0_2019.csv
Southampton,Everton,1,2,A,E0_2019.csv
Tottenham,Sheffield United,1,1,D,E0_2019.csv
Leicester,Arsenal,2,0,H,E0_2019.csv
Man United,Brighton,3,1,H,E0_2019.csv
Wolves,Aston Villa,2,1,H,E0_2019.csv
Liverpool,Man City,3,1,H,E0_2019.csv
West Ham,Tottenham,2,3,A,E0_2019.csv
Arsenal,Southampton,2,2,D,E0_2019.csv
Bournemouth,Wolves,1,2,A,E0_2019.csv
Brighton,Leicester,0,2,A,E0_2019.csv
Crystal Palace,Liverpool,1,2,A,E0_2019.csv
Everton,Norwich,0,2,A,E0_2019.csv
Watford,Burnley,0,3,A,E0_2019.csv
Man City,Chelsea,2,1,H,E0_2019.csv
Sheffield United,Man United,3,3,D,E0_2019.csv
Aston Villa,Newcastle,2,0,H,E0_2019.csv
Newcastle,Man City,2,2,D,E0_2019.csv
Burnley,Crystal Palace,0,2,A,E0_2019.csv
Chelsea,West Ham,0,1,A,E0_2019.csv
Liverpool,Brighton,2,1,H,E0_2019.csv
Tottenham,Bournemouth,3,2,H,E0_2019.csv
Southampton,Watford,2,1,H,E0_2019.csv
Norwich,Arsenal,2,2,D,E0_2019.csv
Wolves,Sheffield United,1,1,D,E0_2019.csv
Leicester,Everton,2,1,H,E0_2019.csv
Man United,Aston Villa,2,2,D,E0_2019.csv
Crystal Palace,Bournemouth,1,0,H,E0_2019.csv
Burnley,Man City,1,4,A,E0_2019.csv
Chelsea,Aston Villa,2,1,H,E0_2019.csv
Leicester,Watford,2,0,H,E0_2019.csv
Man United,Tottenham,2,1,H,E0_2019.csv
Southampton,Norwich,2,1,H,E0_2019.csv
Wolves,West Ham,2,0,H,E0_2019.csv
Liverpool,Everton,5,2,H,E0_2019.csv
Sheffield United,Newcastle,0,2,A,E0_2019.csv
Arsenal,Brighton,1,2,A,E0_2019.csv
Everton,Chelsea,3,1,H,E0_2019.csv
Bournemouth,Liverpool,0,3,A,E0_2019.csv
Tottenham,Burnley,5,0,H,E0_2019.csv
Watford,Crystal Palace,0,0,D,E0_2019.csv
Man City,Man United,1,2,A,E0_2019.csv
Aston Villa,Leicester,1,4,A,E0_2019.csv
Newcastle,Southampton,2,1,H,E0_2019.csv
Norwich,Sheffield United,1,2,A,E0_2019.csv
Brighton,Wolves,2,2,D,E0_2019.csv
West Ham,Arsenal,1,3,A,E0_2019.csv
Liverpool,Watford,2,0,H,E0_2019.csv
Burnley,Newcastle,1,0,H,E0_2019.csv
Chelsea,Bournemouth,0,1,A,E0_2019.csv
Leicester,Norwich,1,1,D,E0_2019.csv
Sheffield United,Aston Villa,2,0,H,E0_2019.csv
Southampton,West Ham,0,1,A,E0_2019.csv
Man United,Everton,1,1,D,E0_2019.csv
Wolves,Tottenham,1,2,A,E0_2019.csv
Arsenal,Man City,0,3,A,E0_2019.csv
Crystal Palace,Brighton,1,1,D,E0_2019.csv
Everton,Arsenal,0,0,D,E0_2019.csv
Aston Villa,Southampton,1,3,A,E0_2019.csv
Bournemouth,Burnley,0,1,A,E0_2019.csv
Brighton,Sheffield United,0,1,A,E0_2019.csv
Newcastle,Crystal Palace,1,0,H,E0_2019.csv
Norwich,Wolves,1,2,A,E0_2019.csv
Man City,Leicester,3,1,H,E0_2019.csv
Watford,Man United,2,0,H,E0_2019.csv
Tottenham,Chelsea,0,2,A,E0_2019.csv
Tottenham,Brighton,2,1,H,E0_2019.csv
Aston Villa,Norwich,1,0,H,E0_2019.csv
Bournemouth,Arsenal,1,1,D,E0_2019.csv
Chelsea,Southampton,0,2,A,E0_2019.csv
Crystal Palace,West Ham,2,1,H,E0_2019.csv
Everton,Burnley,1,0,H,E0_2019.csv
Sheffield United,Watford,1,1,D,E0_2019.csv
Man United,Newcastle,4,1,H,E0_2019.csv
Leicester,Liverpool,0,4,A,E0_2019.csv
Wolves,Man City,3,2,H,E0_2019.csv
Brighton,Bournemouth,2,0,H,E0_2019.csv
Newcastle,Everton,1,2,A,E0_2019.csv
Southampton,Crystal Palace,1,1,D,E0_2019.csv
Watford,Aston Villa,3,0,H,E0_2019.csv
Norwich,Tottenham,2,2,D,E0_2019.csv
West Ham,Leicester,1,2,A,E0_2019.csv
Burnley,Man United,0,2,A,E0_2019.csv
Arsenal,Chelsea,1,2,A,E0_2019.csv
Liverpool,Wolves,1,0,H,E0_2019.csv
Man City,Sheffield United,2,0,H,E0_2019.csv
Brighton,Chelsea,1,1,D,E0_2019.csv
Burnley,Aston Villa,1,2,A,E0_2019.csv
Newcastle,Leicester,0,3,A,E0_2019.csv
Southampton,Tottenham,1,0,H,E0_2019.csv
Watford,Wolves,2,1,H,E0_2019.csv
Man City,Everton,2,1,H,E0_2019.csv
Norwich,Crystal Palace,1,1,D,E0_2019.csv
West Ham,Bournemouth,4,0,H,E0_2019.csv
